gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R2	No_apex_R3
5S_rRNA	69	34	7	33	13	25	11	0	57
5_8S_rRNA	489	237	39	108	65	64	95	1	93
7SK	13241	7797	1137	5182	2287	3542	2082	17	5064
A1BG	0	0	0	0	0	0	0	0	1
A1BG-AS1	3	1	1	0	1	1	0	0	2
A1CF	2	2	0	0	0	1	2	0	0
A2M	0	2	0	1	0	2	0	0	1
A2M-AS1	0	1	0	0	2	0	0	0	0
A2ML1	3	0	0	2	2	0	0	0	1
A2ML1-AS1	1	1	0	0	0	0	0	0	1
A2MP1	26	22	1	19	7	29	4	0	23
A3GALT2	1	0	0	0	0	1	0	0	1
A4GALT	48	27	8	14	5	15	9	0	12
AAAS	88	48	11	29	6	26	10	0	30
AACS	138	105	19	45	35	47	19	0	73
AACSP1	1	1	0	2	0	0	0	0	2
AADAC	0	0	0	0	0	0	0	0	1
AADACL2	2	0	0	0	0	0	0	0	0
AADACL2-AS1	4	4	1	3	1	1	0	0	2
AADACL3	1	0	0	0	0	1	0	0	0
AADACL4	5	0	0	1	1	0	0	0	0
AADACP1	4	0	0	1	0	1	0	0	1
AADAT	41	17	8	18	4	11	5	0	20
AAGAB	172	105	12	70	38	87	29	0	96
AAK1	357	173	24	135	78	152	56	0	173
AAMDC	593	404	45	222	70	87	81	3	156
AAMP	120	45	9	30	14	31	15	0	29
AANAT	1	0	0	0	2	0	1	0	0
AAR2	84	56	5	42	15	48	7	0	48
AARD	0	1	0	0	0	0	1	0	0
AARS1	319	195	33	121	63	110	61	1	165
AARS2	62	43	7	20	17	31	13	0	35
AARSD1	2	0	0	0	0	0	0	0	1
AASDH	49	38	2	21	15	32	6	0	31
AASDHPPT	85	35	3	30	18	24	7	0	37
AASS	72	70	19	44	28	47	17	0	72
AATBC	2	0	0	0	0	0	0	0	1
AATF	445	264	48	166	93	241	49	1	279
AATK	10	2	0	1	1	0	2	0	1
ABALON	0	0	0	0	0	1	0	0	0
ABAT	8	7	0	5	5	3	3	0	10
ABCA1	44	44	3	28	8	20	11	0	25
ABCA10	8	3	0	2	1	3	0	0	4
ABCA11P	0	2	0	2	0	2	0	0	2
ABCA12	7	2	0	1	1	3	0	0	1
ABCA13	56	26	9	26	12	14	7	0	19
ABCA15P	23	16	2	7	8	10	2	0	7
ABCA17P	3	3	0	3	2	1	1	0	1
ABCA2	223	150	38	87	44	94	66	0	138
ABCA3	29	16	3	12	9	6	2	0	9
ABCA4	11	5	2	2	4	2	3	0	2
ABCA5	67	38	5	22	16	28	12	0	43
ABCA6	6	1	1	2	0	1	0	0	1
ABCA7	81	65	12	35	20	41	29	0	56
ABCA8	139	96	27	78	46	79	28	0	119
ABCA9	4	5	1	0	2	1	0	0	1
ABCA9-AS1	11	4	1	5	0	0	0	0	2
ABCB1	72	77	7	47	25	23	10	0	42
ABCB10	40	35	5	23	16	24	8	0	28
ABCB11	5	4	0	1	0	1	0	0	3
ABCB4	2	3	0	1	0	0	0	1	1
ABCB5	14	5	1	3	1	2	0	0	2
ABCB6	65	66	15	38	19	46	23	0	55
ABCB7	166	121	23	72	51	103	25	0	116
ABCB8	67	41	9	23	19	34	21	0	36
ABCB9	54	32	5	23	7	19	14	0	40
ABCC1	1281	734	138	511	222	467	214	2	584
ABCC10	56	49	9	38	11	27	6	0	24
ABCC11	5	3	0	1	0	1	1	0	2
ABCC12	3	1	1	4	0	0	0	0	1
ABCC13	6	4	0	2	1	0	0	0	1
ABCC2	11	7	1	2	0	3	2	0	4
ABCC3	362	326	59	152	101	181	67	0	175
ABCC4	565	281	57	215	131	234	50	0	232
ABCC5	231	152	35	93	48	102	34	0	134
ABCC5-AS1	0	0	0	0	0	0	0	0	1
ABCC6	7	4	0	1	1	5	5	0	8
ABCC8	67	61	10	31	17	34	14	0	51
ABCC9	19	11	5	6	3	9	1	0	14
ABCD1	94	75	13	41	13	23	23	0	32
ABCD2	3	3	0	1	1	2	1	0	2
ABCD3	309	210	43	151	76	175	54	2	257
ABCD4	52	24	4	16	7	14	5	0	17
ABCE1	288	160	19	112	59	122	22	0	111
ABCF1	256	154	36	108	56	91	48	0	121
ABCF2	35	17	2	19	8	8	4	0	17
ABCF2-H2BK1	106	67	14	49	33	29	18	0	37
ABCF2P1	0	0	1	0	0	0	0	0	0
ABCF3	94	42	8	37	10	22	9	0	47
ABCG1	35	12	3	14	6	12	7	0	4
ABCG2	52	27	4	32	10	19	15	1	21
ABCG4	2	1	0	0	0	0	0	0	1
ABCG5	1	0	0	1	0	0	0	0	3
ABCG8	1	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	1	2	0	0	0
ABHD10	59	29	7	23	15	20	6	0	39
ABHD11	18	9	1	8	2	3	1	0	2
ABHD12	88	68	15	32	20	36	22	1	53
ABHD12B	3	0	0	0	1	0	0	0	1
ABHD13	61	46	8	27	14	40	6	0	69
ABHD14A	10	9	1	4	2	3	2	0	6
ABHD14A-ACY1	45	23	6	14	8	15	9	0	17
ABHD14B	34	37	10	27	7	23	10	0	30
ABHD15	19	15	5	7	7	3	3	0	12
ABHD15-AS1	69	42	6	17	15	11	16	0	17
ABHD16A	16	6	2	8	4	8	2	0	8
ABHD17A	44	27	6	13	4	9	10	0	22
ABHD17AP3	2	0	0	0	0	0	0	0	1
ABHD17AP6	0	2	1	0	0	0	0	0	0
ABHD17B	158	110	21	72	38	97	18	1	135
ABHD17C	124	48	6	37	22	32	14	0	50
ABHD18	74	61	15	45	31	70	16	0	84
ABHD2	235	145	23	93	45	96	30	0	90
ABHD3	145	103	20	44	34	79	35	0	88
ABHD4	39	19	1	13	5	12	5	1	14
ABHD5	149	90	15	54	23	50	13	1	77
ABHD6	41	34	10	19	12	35	13	0	33
ABHD8	13	8	0	9	1	7	4	0	9
ABI1	176	129	25	79	45	130	27	0	165
ABI2	229	210	39	101	56	149	41	1	237
ABI3	2	1	1	0	0	0	0	0	1
ABI3BP	21	37	5	5	11	22	8	0	26
ABITRAM	36	23	4	17	9	18	3	0	11
ABL1	899	724	153	389	266	502	175	2	790
ABL2	916	528	82	367	192	403	120	0	486
ABLIM1	384	249	36	185	91	174	59	0	181
ABLIM2	79	39	5	27	12	18	14	0	24
ABLIM3	115	47	12	38	13	23	11	0	17
ABO	27	2	0	4	2	3	2	0	1
ABR	207	173	23	82	39	80	48	0	116
ABRA	0	0	0	1	0	0	0	0	0
ABRACL	19	11	1	10	3	7	0	0	7
ABRAXAS1	33	16	4	13	4	23	1	0	18
ABRAXAS2	72	59	9	26	22	38	10	0	46
ABT1	25	16	3	11	5	6	5	0	10
ABTB1	27	12	2	10	6	12	7	1	11
ABTB2	511	330	42	182	108	149	74	0	238
ABTB3	13	4	1	5	1	5	1	0	1
ACAA1	45	26	6	15	15	22	11	1	28
ACAA2	53	30	6	19	11	21	7	0	34
ACAA2P1	1	0	0	1	4	0	1	0	0
ACACA	1357	1064	236	690	381	968	316	4	1153
ACACB	67	70	17	41	18	35	21	0	76
ACAD10	59	46	10	23	21	35	9	0	55
ACAD11	18	11	1	6	2	14	6	0	5
ACAD8	18	10	4	10	3	12	2	0	9
ACAD9	299	207	34	140	71	126	52	0	187
ACAD9-DT	11	7	1	6	1	3	1	0	8
ACADL	5	8	0	1	1	3	5	0	3
ACADM	162	91	13	52	40	63	24	0	120
ACADS	4	2	2	2	1	2	3	0	3
ACADSB	13	16	1	9	3	14	4	0	16
ACADVL	260	106	19	110	41	56	50	0	111
ACAN	5	1	0	0	1	1	1	0	0
