gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R2	No_apex_R3
5S_rRNA	137.693	101.296	112.392	160.124	116.431	110.799	122.989	0	191.176
5_8S_rRNA	803.619	581.487	515.68	431.564	479.422	233.59	874.735	1014.11	256.874
7SK	10058.3	8842.65	6949.27	9571.56	7797.12	5975.67	8861.29	7968.89	6465.38
A1BG	0	0	0	0	0	0	0	0	0.124771
A1BG-AS1	0.110734	0.0551072	0.296983	0	0.165661	0.0819768	0	0	0.124075
A1CF	0.00587261	0.00876762	0	0	0	0.00652131	0.0329036	0	0
A2M	0	0.015459	0	0.0125887	0	0.0229966	0	0	0.00870153
A2M-AS1	0	0.106433	0	0	0.639913	0	0	0	0
A2ML1	0.0117164	0	0	0.0189927	0.0350565	0	0	0	0.00656403
A2ML1-AS1	0.00462689	0.00690779	0	0	0	0	0	0	0.00777651
A2MP1	0.142601	0.180145	0.044129	0.253387	0.17231	0.353249	0.12292	0	0.212018
A3GALT2	0.0175427	0	0	0	0	0.0389609	0	0	0.0294843
A4GALT	2.81856	2.36701	3.77964	1.99892	1.31771	1.95619	2.96101	0	1.1843
AAAS	1.27099	1.03502	1.27828	1.01844	0.388932	0.833999	0.809227	0	0.728242
AACS	0.466172	0.52955	0.51641	0.369624	0.530638	0.352613	0.359611	0	0.414463
AACSP1	0.00474261	0.00708056	0	0.0230637	0	0	0	0	0.015942
AADAC	0	0	0	0	0	0	0	0	0.0293146
AADACL2	0.0183371	0	0	0	0	0	0	0	0
AADACL2-AS1	0.0057647	0.00860651	0.0115955	0.0105128	0.00646815	0.00320074	0	0	0.00484443
AADACL3	0.019875	0	0	0	0	0.0441409	0	0	0
AADACL4	0.0546797	0	0	0.0265911	0.0490817	0	0	0	0
AADACP1	0.069951	0	0	0.0425221	0	0.0388389	0	0	0.029392
AADAT	0.327498	0.202733	0.51415	0.349606	0.1434	0.195142	0.223773	0	0.268504
AAGAB	0.79311	0.722844	0.445205	0.784845	0.786416	0.890959	0.74923	0	0.743998
AAK1	0.415759	0.300795	0.224884	0.382286	0.407692	0.393143	0.365404	0	0.338622
AAMDC	1.54075	1.56715	0.94073	1.40253	0.816282	0.502031	1.17917	4.80999	0.681238
AAMP	4.98722	2.79216	3.0095	3.03165	2.61137	2.86136	3.49285	0	2.02568
AANAT	0.0149961	0	0	0	0.134608	0	0.0840212	0	0
AAR2	0.607131	0.604285	0.290768	0.738131	0.486584	0.770509	0.283474	0	0.583096
AARD	0	0.059766	0	0	0	0	0.224293	0	0
AARS1	2.12615	1.94039	1.76967	1.96096	1.88455	1.62828	2.27795	4.1129	1.84834
AARS2	1.06651	1.10432	0.968828	0.836537	1.31246	1.18432	1.25294	0	1.0119
AARSD1	9.48826	0	0	0	0	0	0	0	7.97356
AASDH	0.250305	0.289806	0.0822011	0.26084	0.343897	0.363042	0.171726	0	0.266153
AASDHPPT	0.92126	0.566346	0.261613	0.790616	0.875587	0.577707	0.425082	0	0.674001
AASS	0.227073	0.329595	0.482126	0.337416	0.396328	0.329203	0.300395	0	0.381646
AATBC	0.073844	0	0	0	0	0	0	0	0.0620556
AATF	1.0506	0.930536	0.911789	0.952945	0.985429	1.26366	0.648167	1.45688	1.10708
AATK	0.0453394	0.0135381	0	0.0110245	0.0203488	0	0.0508064	0	0.0076203
ABALON	0	0	0	0	0	0.293445	0	0	0
ABAT	0.0183395	0.0239577	0	0.0278707	0.0514435	0.015274	0.0385328	0	0.0385295
ABCA1	0.0751839	0.112247	0.0412447	0.116335	0.0613516	0.0758989	0.105312	0	0.0717973
ABCA10	0.0211633	0.0118486	0	0.0128649	0.0118729	0.0176258	0	0	0.0177848
ABCA11P	0	0.554491	0	0.903077	0	0.824854	0	0	0.624223
ABCA12	0.00849928	0.00362547	0	0.00295233	0.00544939	0.00808981	0	0	0.0020407
