gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R3
TMEM107	627.226	797.43	151.357	428.573	574.117	115.991	536.288	116.501
MRM2	6.20141	2.52505	0	8.22488	2.53024	1.25208	0	2.84259
GTF2H4	5.1404	1.97343	0	6.07098	1.97749	0.978551	0.822888	1.72792
C6orf226	1.35425	1.3479	0	5.48818	0	0	0	0.758705
VPS33B	1.80028	0	0	0	2.69328	0	3.36225	1.00859
TSTD1	0	2.28548	3.07922	2.7917	0	1.69993	6.4328	2.5729
CXCL2	7.92668	1.0442	0.9379	4.25162	4.18539	1.81223	0	0.391839
SDHAF1	1.56451	1.6684	0	2.71726	6.01859	0.496379	1.25225	0
CNPY2	9.19512	9.4676	0	10.0227	9.96142	13.3797	7.1061	14.3886
SRXN1	2.66073	5.95857	0	11.3219	2.98541	0	11.1808	2.23597
MDP1	1.38917	1.03699	0	1.6889	0	3.08523	7.78334	1.1674
CRIP1	4.09369	3.21671	0	7.3345	2.90099	1.43554	7.24311	3.98336
DIABLO	3.85347	2.87655	0	4.68493	4.3237	3.56594	7.19685	7.01633
RPS10	7.83299	9.35552	0	11.4277	7.03107	3.47929	4.38874	1.31651
ADM	17.3033	4.68229	4.35065	9.72954	2.42685	4.08312	4.2415	1.09058
NUSAP1	0	13.9033	37.4639	33.9657	20.8979	10.3412	0	0
WDR83OS	14.704	15.3668	11.8307	0	13.1987	6.5313	16.477	7.41401
PRICKLE4	0.957863	0.715029	3.85343	0	0	0	2.6834	0
PARL	7.80866	1.55441	0	6.32902	4.67282	5.78081	5.83347	4.37473
C19orf33	30.1018	19.8269	0	17.2221	19.8677	7.86516	4.96051	7.44012
EGLN2	6.3068	3.02018	0	4.91884	1.6022	4.49278	4.66706	2.19999
U2AF1L4	0.503886	0.752285	0	4.90087	2.2615	0	2.82321	0.846891
CXCL1	3.28078	0.391848	0	2.87184	3.53388	0.582908	0	0
SCG5	0	0	0	0	10.3531	0	0	3.87705
RPL18A	133.334	283.529	63.9739	191.996	239.642	31.1067	205.955	40.7076
SDHAF2	3.7851	2.82552	0	7.23141	2.42685	4.80367	7.57411	5.90729
SLC33A1	3.82578	4.44249	5.13031	6.20169	10.4931	2.36021	0	2.85781
CXCL8	8.2555	1.76074	1.2652	5.35295	1.76436	2.09541	0.44052	0.132145
TMEM141	2.45135	3.65979	16.9057	5.10905	0	4.66651	9.81047	7.06293
DPM3	2.85321	5.32468	0	3.46884	3.20138	3.96047	7.9931	2.99715
INO80B	5.91621	4.41635	0	7.19274	0	13.1394	0	4.97175
MSH5	0.997774	0	4.01399	0	0	0	2.79521	1.67698
KRTCAP2	5.91621	8.83271	0	7.19274	0	13.1394	0	0
SNHG12	85.9479	120.577	32.3924	91.9596	104.033	18.831	92.6202	23.0676
SNHG32	232.158	345.028	70.1268	197.158	123.28	34.0218	263.407	72.3567
CKLF	8.48739	11.0875	0	15.478	14.2846	4.71246	17.8327	0
EPB41L4A-AS1	20.2481	38.8023	7.78096	38.5054	37.7066	5.77219	20.9963	7.21262
SMIM26	2.89676	4.32477	18.6456	8.4523	2.6002	1.2867	9.73814	0.97373
SNHG7	31.1707	33.7565	18.5318	38.0831	33.0793	6.73522	35.0583	8.45197
GPC5-IT1	1.91063	3.42301	0	2.78746	1.71502	0.848672	8.56404	3.85348
HPX	6.9331	0	0	0	0	0.0965384	0.121772	0.0365285
GNG10	8.82242	3.2929	0	16.089	0	0	0	3.70701
TMEM35B	12.1351	0.724691	3.9055	1.18028	2.17854	2.15609	0	0
SNHG10	16.6046	32.6187	7.03153	14.2138	25.4513	5.47773	25.2443	6.07116
PIGY	16.297	6.95167	18.732	5.66095	5.22447	2.58531	6.52215	0
HM13-IT1	5.65031	3.1634	0	1.71737	0	3.13723	3.95726	0
SNHG8	29.67	66.3577	11.546	39.4197	48.217	8.18302	37.3763	7.88747
KIRREL1-IT1	1.71338	1.27901	0	1.04154	0	0	7.19992	0.71993
ZNRF3-IT1	0	1.67088	0	0.907096	1.67431	4.97115	2.09018	0
ASDURF	8.1991	16.3213	0	6.64547	12.2662	0	15.3129	9.18693
