protein	frac_centro_specific	frac_NT_control	diff	cohens_h	z	n_centro_specific	n_NT_control
HepG2-YBX3-eCLIP	0.7250	0.5868	+0.1383	+0.2924	+8.98	1379	1116
HepG2-UCHL5-eCLIP	0.7892	0.6735	+0.1157	+0.2623	+8.05	1501	1281
HepG2-BCLAF1-eCLIP	0.6998	0.5825	+0.1172	+0.2452	+7.54	1331	1108
HepG2-PRPF4-eCLIP	0.6178	0.4974	+0.1204	+0.2430	+7.48	1175	946
HepG2-GRWD1-eCLIP	0.7545	0.6435	+0.1109	+0.2428	+7.46	1435	1224
K562-PUM1-eCLIP	0.5852	0.4669	+0.1183	+0.2375	+7.31	1113	888
HepG2-EIF3D-eCLIP	0.7408	0.6383	+0.1025	+0.2223	+6.83	1409	1214
K562-FXR2-eCLIP	0.5752	0.4669	+0.1083	+0.2172	+6.69	1094	888
HepG2-PPIG-eCLIP	0.6388	0.5394	+0.0994	+0.2024	+6.23	1215	1026
K562-FMR1-eCLIP	0.5242	0.4238	+0.1004	+0.2015	+6.20	997	806
HepG2-BUD13-eCLIP	0.6982	0.6046	+0.0936	+0.1968	+6.06	1328	1150
K562-GRWD1-eCLIP	0.6614	0.5678	+0.0936	+0.1926	+5.93	1258	1080
HepG2-HLTF-eCLIP	0.6493	0.5578	+0.0915	+0.1873	+5.77	1235	1061
RBM10-PARCLIP	0.2671	0.1898	+0.0773	+0.1847	+5.68	508	361
HepG2-G3BP1-eCLIP	0.6809	0.5941	+0.0868	+0.1808	+5.57	1295	1130
HepG2-PRPF8-eCLIP	0.6057	0.5179	+0.0878	+0.1772	+5.46	1152	985
K562-YBX3-eCLIP	0.7161	0.6341	+0.0820	+0.1754	+5.40	1362	1206
HepG2-FASTKD2-eCLIP	0.6651	0.5810	+0.0841	+0.1738	+5.35	1265	1105
K562-ZNF622-eCLIP	0.6966	0.6146	+0.0820	+0.1729	+5.32	1325	1169
K562-BUD13-eCLIP	0.7361	0.6572	+0.0789	+0.1719	+5.29	1400	1250
K562-AQR-eCLIP	0.5705	0.4879	+0.0825	+0.1656	+5.10	1085	928
K562-FXR1-eCLIP	0.6851	0.6078	+0.0773	+0.1619	+4.99	1303	1156
K562-NOLC1-eCLIP	0.6514	0.5731	+0.0783	+0.1610	+4.96	1239	1090
HepG2-LARP4-eCLIP	0.6961	0.6199	+0.0762	+0.1609	+4.96	1324	1179
HepG2-LSM11-eCLIP	0.6845	0.6083	+0.0762	+0.1597	+4.92	1302	1157
K562-UCHL5-eCLIP	0.7308	0.6583	+0.0726	+0.1578	+4.86	1390	1252
HepG2-IGF2BP3-eCLIP	0.6062	0.5294	+0.0768	+0.1551	+4.78	1153	1007
K562-HLTF-eCLIP	0.5825	0.5063	+0.0762	+0.1532	+4.72	1108	963
K562-FUS-eCLIP	0.7319	0.6625	+0.0694	+0.1513	+4.66	1392	1260
K562-PRPF8-eCLIP	0.6441	0.5710	+0.0731	+0.1498	+4.62	1225	1086
HepG2-SRSF1-eCLIP	0.5573	0.4832	+0.0741	+0.1485	+4.58	1060	919
K562-ZNF800-eCLIP	0.5279	0.4543	+0.0736	+0.1474	+4.54	1004	864
K562-SRSF1-eCLIP	0.6320	0.5599	+0.0720	+0.1469	+4.53	1202	1065
HepG2-RPS3-eCLIP	0.5862	0.5137	+0.0726	+0.1460	+4.50	1115	977
HepG2-ZNF800-eCLIP	0.5531	0.4805	+0.0726	+0.1453	+4.48	1052	914
K562-DDX24-eCLIP	0.5431	0.4727	+0.0705	+0.1410	+4.35	1033	899
K562-SRSF7-eCLIP	0.5300	0.4595	+0.0705	+0.1410	+4.35	1008	874
HepG2-SSB-eCLIP	0.6015	0.5358	+0.0657	+0.1328	+4.09	1144	1019
HepG2-SLTM-eCLIP	0.3034	0.2450	+0.0584	+0.1310	+4.03	577	466
K562-SAFB-eCLIP	0.5662	0.5011	+0.0652	+0.1308	+4.03	1077	953
K562-PPIL4-eCLIP	0.6661	0.6036	+0.0626	+0.1301	+4.01	1267	1148
K562-RBM15-eCLIP	0.6740	0.6125	+0.0615	+0.1285	+3.96	1282	1165
HepG2-AQR-eCLIP	0.5358	0.4716	+0.0641	+0.1284	+3.96	1019	897
K562-RBFOX2-eCLIP	0.6767	0.6157	+0.0610	+0.1277	+3.93	1287	1171
HepG2-PABPN1-eCLIP	0.5631	0.5016	+0.0615	+0.1234	+3.80	1071	954
K562-SND1-eCLIP	0.7213	0.6646	+0.0568	+0.1232	+3.80	1372	1264
K562-AGGF1-eCLIP	0.6356	0.5757	+0.0599	+0.1227	+3.78	1209	1095
HepG2-EIF3H-eCLIP	0.4448	0.3849	+0.0599	+0.1217	+3.75	846	732
HepG2-U2AF1-eCLIP	0.6924	0.6362	+0.0563	+0.1192	+3.67	1317	1210
