binf_chr_start_end	fus_total_overlaps	fus_variance	fus_pearson_median_skew	fus_kurtosis_excess	fus_max_binding_offset	hnrnpc_total_overlaps	hnrnpc_variance	hnrnpc_pearson_median_skew	hnrnpc_kurtosis_excess	hnrnpc_max_binding_offset	hnrnpm_total_overlaps	hnrnpm_variance	hnrnpm_pearson_median_skew	hnrnpm_kurtosis_excess	hnrnpm_max_binding_offset	khsrp_total_overlaps	khsrp_variance	khsrp_pearson_median_skew	khsrp_kurtosis_excess	khsrp_max_binding_offset	khsrpctrl_total_overlaps	khsrpctrl_variance	khsrpctrl_pearson_median_skew	khsrpctrl_kurtosis_excess	khsrpctrl_max_binding_offset	prpf8_total_overlaps	prpf8_variance	prpf8_pearson_median_skew	prpf8_kurtosis_excess	prpf8_max_binding_offset	prpf8ctrl_total_overlaps	prpf8ctrl_variance	prpf8ctrl_pearson_median_skew	prpf8ctrl_kurtosis_excess	prpf8ctrl_max_binding_offset	ptbp1_total_overlaps	ptbp1_variance	ptbp1_pearson_median_skew	ptbp1_kurtosis_excess	ptbp1_max_binding_offset	sfb31_total_overlaps	sfb31_variance	sfb31_pearson_median_skew	sfb31_kurtosis_excess	sfb31_max_binding_offset	u2af2_total_overlaps	u2af2_variance	u2af2_pearson_median_skew	u2af2_kurtosis_excess	u2af2_max_binding_offset	u2af2ctrl_total_overlaps	u2af2ctrl_variance	u2af2ctrl_pearson_median_skew	u2af2ctrl_kurtosis_excess	u2af2ctrl_max_binding_offset
chr1_960943_960944	38	0.173214	1.36276	3.04015	-39	4	0.0195045	0.427482	45.2703	-50	32	0.163709	1.18043	5.82707	50	15	0.0690577	0.851943	8.48064	-32	11	0.0517314	0.72184	13.3306	-49	210	1.20695	0.122271	0.0499237	-12	14	0.0648004	0.820851	9.43201	-39	39	0.166333	1.42725	1.76199	-32	3	0.0147026	0.369274	62.0152	-59	33	0.177025	1.17063	6.1698	-28	2	0.00985124	0.300753	95.51	-85
chr1_964347_964348	59	0.277023	1.67309	1.64666	-88	2	0.00985124	0.300753	95.51	-36	5	0.0242568	0.479157	35.2255	56	10	0.0472761	0.686443	15.1524	-46	8	0.0382169	0.610784	20.1665	-65	84	0.452217	1.86437	1.6841	-66	7	0.033613	0.569862	23.7504	2	17	0.0774238	0.911878	6.91592	-88	1	0.00495037	0.212132	196.005	63	25	0.128809	1.03966	8.13652	-63	7	0.033613	0.569862	23.7504	81
chr1_973061_973062	2	0.00985124	0.300753	95.51	-97	2	0.00985124	0.300753	95.51	-82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0.0427712	0.649519	17.3802	-20	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-68	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-58	0	0	0	0	0
chr1_1042747_1042748	65	0.328259	1.69329	1.50361	-91	3	0.0147026	0.369274	62.0152	-32	41	0.281775	1.15281	9.16836	-97	16	0.0832158	0.827832	13.9949	-88	6	0.0389099	0.45399	58.1529	-68	153	0.928046	2.37046	1.0306	-68	10	0.0472761	0.686443	15.1524	-65	108	0.646618	2.00459	4.6025	-90	0	0	0	0	0	46	0.246133	1.38388	6.12809	-70	5	0.0242568	0.479157	35.2255	-98
chr1_1042930_1042931	51	0.328655	1.32778	9.97247	-8	3	0.0147026	0.369274	62.0152	-26	41	0.241974	1.24401	4.95057	-1	26	0.142472	1.0281	8.83293	-8	4	0.0195045	0.427482	45.2703	-84	116	0.642063	2.1607	1.58806	-9	13	0.0604935	0.788886	10.5307	-18	79	0.537066	1.60894	2.84886	-15	2	0.00985124	0.300753	95.51	-18	19	0.125393	0.800834	26.7026	-17	7	0.033613	0.569862	23.7504	-36
chr1_1044993_1044994	18	0.0914829	0.888235	11.4612	81	1	0.00495037	0.212132	196.005	-43	21	0.113463	0.930504	11.2117	-65	10	0.0472761	0.686443	15.1524	-60	2	0.00985124	0.300753	95.5101	-54	52	0.261429	1.51793	2.57086	-43	2	0.00985124	0.300753	95.51	-90	7	0.033613	0.569862	23.7504	-64	0	0	0	0	0	5	0.0242568	0.479157	35.2255	95	3	0.0147026	0.369274	62.0152	-44
chr1_1086452_1086453	34	0.170392	1.22936	5.08632	-53	0	0	0	0	0	4	0.0195045	0.427482	45.2703	48	3	0.0147026	0.369274	62.0152	13	4	0.0195045	0.427482	45.2703	-49	9	0.0427712	0.649519	17.3802	9	1	0.00495037	0.212132	196.005	85	9	0.0427712	0.649519	17.3802	5	0	0	0	0	0	4	0.0195045	0.427482	45.2703	47	0	0	0	0	0
chr1_1223516_1223517	39	0.206133	1.28208	8.35795	-78	2	0.00985124	0.300753	95.5101	-98	16	0.093166	0.782378	17.5316	13	7	0.033613	0.569862	23.7504	13	1	0.00495037	0.212132	196.005	14	25	0.128809	1.03966	8.13652	14	3	0.0147026	0.369274	62.0152	-50	8	0.0382169	0.610784	20.1665	11	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-67	0	0	0	0	0
chr1_1307688_1307689	149	0.947996	2.28406	0.987061	-7	3	0.0147026	0.369274	62.0152	-8	45	0.293161	1.24047	9.69725	-23	57	0.302666	1.54639	2.29722	-6	8	0.0481671	0.544051	39.5975	-81	180	1.17814	-0.288766	0.425193	-84	14	0.0648004	0.820851	9.43201	-85	80	0.558006	1.59844	3.42058	-7	1	0.00495037	0.212132	196.005	56	10	0.0472761	0.686443	15.1524	-1	3	0.0147026	0.369274	62.0152	-39
chr1_1315972_1315973	18	0.0914829	0.888235	11.4612	12	81	0.499295	1.71093	2.10185	35	88	0.673993	1.59985	5.12537	37	41	0.202173	1.36097	3.71326	14	30	0.146878	1.16834	5.5722	35	99	0.578303	1.94305	3.28012	36	11	0.0517314	0.72184	13.3306	36	74	0.431623	1.68114	2.45503	36	0	0	0	0	0	68	0.542264	1.37825	6.30076	34	26	0.132521	1.066	7.5331	37
