decoy_chr_start_end	fus_total_overlaps	fus_variance	fus_pearson_median_skew	fus_kurtosis_excess	fus_max_binding_offset	hnrnpc_total_overlaps	hnrnpc_variance	hnrnpc_pearson_median_skew	hnrnpc_kurtosis_excess	hnrnpc_max_binding_offset	hnrnpm_total_overlaps	hnrnpm_variance	hnrnpm_pearson_median_skew	hnrnpm_kurtosis_excess	hnrnpm_max_binding_offset	khsrp_total_overlaps	khsrp_variance	khsrp_pearson_median_skew	khsrp_kurtosis_excess	khsrp_max_binding_offset	khsrpctrl_total_overlaps	khsrpctrl_variance	khsrpctrl_pearson_median_skew	khsrpctrl_kurtosis_excess	khsrpctrl_max_binding_offset	prpf8_total_overlaps	prpf8_variance	prpf8_pearson_median_skew	prpf8_kurtosis_excess	prpf8_max_binding_offset	prpf8ctrl_total_overlaps	prpf8ctrl_variance	prpf8ctrl_pearson_median_skew	prpf8ctrl_kurtosis_excess	prpf8ctrl_max_binding_offset	ptbp1_total_overlaps	ptbp1_variance	ptbp1_pearson_median_skew	ptbp1_kurtosis_excess	ptbp1_max_binding_offset	sfb31_total_overlaps	sfb31_variance	sfb31_pearson_median_skew	sfb31_kurtosis_excess	sfb31_max_binding_offset	u2af2_total_overlaps	u2af2_variance	u2af2_pearson_median_skew	u2af2_kurtosis_excess	u2af2_max_binding_offset	u2af2ctrl_total_overlaps	u2af2ctrl_variance	u2af2ctrl_pearson_median_skew	u2af2ctrl_kurtosis_excess	u2af2ctrl_max_binding_offset
chr1_960943_960944	28	0.259778	1.63176	1.82379	-39	2	0.0194099	0.426401	45.5202	-48	14	0.139202	1.11456	6.52613	-36	11	0.0970493	1.04881	4.30404	-32	5	0.0470542	0.684653	15.2521	-48	192	5.13871	1.19238	2.82456	5	9	0.10097	0.841289	14.6347	-39	28	0.239976	1.69775	1.2311	-32	1	0.00980296	0.3	96.0099	-26	21	0.243898	1.26303	4.74458	-28	1	0.00980296	0.3	96.01	-4
chr1_964347_964348	24	0.240565	1.45343	3.03538	25	2	0.0194099	0.426401	45.5202	-36	1	0.00980296	0.3	96.0099	-31	8	0.072934	0.879883	7.71103	-46	3	0.0288207	0.524891	28.6973	-47	49	0.942849	1.49891	33.2639	-18	4	0.0380355	0.609208	20.2912	2	10	0.0892069	0.99449	5.20989	6	0	0	0	0	0	6	0.0756789	0.647834	26.9316	7	1	0.00980296	0.3	96.01	22
chr1_973061_973062	1	0.00980296	0.3	96.01	9	1	0.00980296	0.3	96.01	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-20	0	0	0	0	0	1	0.00980296	0.3	96.0099	-39	0	0	0	0	0	1	0.00980296	0.3	96.01	7	0	0	0	0	0
chr1_1042747_1042748	31	0.648368	1.14354	26.4356	-41	2	0.0194099	0.426401	45.5202	-32	16	0.311538	0.85146	14.033	2	9	0.10097	0.841289	14.6347	-17	0	0	0	0	0	81	1.68356	1.85426	9.99497	0	4	0.0380355	0.609208	20.2912	-27	48	0.566219	1.89474	2.09545	25	0	0	0	0	0	20	0.198412	1.33366	4.00036	-39	1	0.00980296	0.3	96.0099	-43
chr1_1042930_1042931	41	0.656994	1.50246	10.1379	-10	3	0.0288207	0.524891	28.6973	-26	27	0.374081	1.31124	5.04593	-1	21	0.224096	1.31766	4.2951	-8	1	0.00980296	0.3	96.01	-8	105	2.77071	1.87367	2.83004	-9	5	0.0470542	0.684653	15.2521	-18	58	1.07617	1.66069	2.3999	-15	3	0.0486227	0.404112	63.8267	-18	16	0.33134	0.825625	23.8804	-17	4	0.0380355	0.609208	20.2912	-36
chr1_1044993_1044994	10	0.0892069	0.99449	5.2099	-46	1	0.00980296	0.3	96.0099	-43	11	0.136653	0.883858	12.9087	-45	8	0.13234	0.653197	40.1773	-10	1	0.00980296	0.3	96.0099	-44	34	0.401529	1.59375	3.1958	-43	0	0	0	0	0	4	0.0380355	0.609208	20.2912	-42	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-32	2	0.0194099	0.426401	45.5202	-44
chr1_1086452_1086453	18	0.166258	1.31124	3.58954	8	0	0	0	0	0	3	0.0288207	0.524891	28.6973	48	2	0.0194099	0.426401	45.5202	13	3	0.0288207	0.524891	28.6973	-48	5	0.0470542	0.684653	15.2521	9	0	0	0	0	0	3	0.0288207	0.524891	28.6973	5	0	0	0	0	0	1	0.00980296	0.3	96.01	47	0	0	0	0	0
chr1_1223516_1223517	24	0.339575	1.22333	16.3483	15	0	0	0	0	0	15	0.225468	0.938315	15.2813	13	7	0.0645035	0.818665	9.50303	13	1	0.00980296	0.3	96.01	14	15	0.205666	0.982448	16.4665	14	2	0.0194099	0.426401	45.5202	-48	5	0.0470542	0.684653	15.2521	11	0	0	0	0	0	3	0.0486227	0.404112	63.8267	35	0	0	0	0	0
chr1_1307688_1307689	127	4.23076	0.37546	18.7551	-23	3	0.0288207	0.524891	28.6973	-8	31	0.430546	1.4033	6.56505	-23	42	0.520145	1.72976	3.22283	-6	6	0.0954808	0.576757	29.506	-23	139	5.06637	0.501459	9.33432	-5	11	0.136653	0.883858	12.9087	-9	72	1.53142	1.72817	6.41332	-6	0	0	0	0	0	7	0.0645035	0.818665	9.50303	-1	2	0.0194099	0.426401	45.5202	-39
chr1_1315972_1315973	14	0.178806	0.983415	9.52697	12	55	0.941084	1.68402	4.79606	36	67	1.64905	1.54973	9.52358	37	34	0.579747	1.32635	13.6621	14	26	0.40898	1.2076	13.3452	35	111	4.54465	1.54658	10.8919	37	8	0.092736	0.780307	17.6412	36	61	1.07088	1.7509	5.75903	36	0	0	0	0	0	65	1.93236	1.38889	12.7544	34	20	0.218214	1.27171	4.80816	11
