binf_chr_start_end	chrom	start	end	row_sum_support	passes_heatmap_filter	heatmap_cluster
chr1_629923_629924	chr1	629923	629924	27896	True	3
chr1_629952_629953	chr1	629952	629953	1402	True	5
chr1_633970_633971	chr1	633970	633971	43741	True	4
chr1_633990_633991	chr1	633990	633991	43748	True	4
chr1_634033_634034	chr1	634033	634034	15176	True	5
chr1_944257_944258	chr1	944257	944258	1888	True	1
chr1_999567_999568	chr1	999567	999568	809	True	2
chr1_999580_999581	chr1	999580	999581	837	True	2
chr1_1095540_1095541	chr1	1095540	1095541	337	True	5
chr1_1102078_1102079	chr1	1102078	1102079	113	False	NA
chr1_1390367_1390368	chr1	1390367	1390368	4926	True	2
chr1_1390536_1390537	chr1	1390536	1390537	7733	True	4
chr1_1390789_1390790	chr1	1390789	1390790	6631	True	4
chr1_1391024_1391025	chr1	1391024	1391025	13997	True	4
chr1_1391083_1391084	chr1	1391083	1391084	10771	True	4
chr1_1391214_1391215	chr1	1391214	1391215	13410	True	4
chr1_1391253_1391254	chr1	1391253	1391254	15715	True	4
chr1_1393447_1393448	chr1	1393447	1393448	7461	True	2
chr1_1395065_1395066	chr1	1395065	1395066	1779	True	2
chr1_1395411_1395412	chr1	1395411	1395412	6297	True	4
chr1_1395460_1395461	chr1	1395460	1395461	6368	True	4
chr1_1395477_1395478	chr1	1395477	1395478	6243	True	4
chr1_1395498_1395499	chr1	1395498	1395499	5983	True	4
chr1_1477721_1477722	chr1	1477721	1477722	769	True	5
chr1_1478172_1478173	chr1	1478172	1478173	4206	True	4
chr1_1673970_1673971	chr1	1673970	1673971	1173	True	2
chr1_1736808_1736809	chr1	1736808	1736809	989	True	5
chr1_2282525_2282526	chr1	2282525	2282526	931	True	2
chr1_2307273_2307274	chr1	2307273	2307274	2023	True	1
chr1_6192939_6192940	chr1	6192939	6192940	1003	True	2
chr1_6192954_6192955	chr1	6192954	6192955	1003	True	2
chr1_6197654_6197655	chr1	6197654	6197655	4414	True	4
chr1_6199592_6199593	chr1	6199592	6199593	9051	True	4
chr1_6668444_6668445	chr1	6668444	6668445	5	False	NA
chr1_7121813_7121814	chr1	7121813	7121814	0	False	NA
chr1_8206537_8206538	chr1	8206537	8206538	0	False	NA
chr1_8206570_8206571	chr1	8206570	8206571	262	True	5
chr1_8866381_8866382	chr1	8866381	8866382	24172	True	3
chr1_8866486_8866487	chr1	8866486	8866487	14715	True	3
chr1_8867249_8867250	chr1	8867249	8867250	19057	True	3
chr1_8868015_8868016	chr1	8868015	8868016	12563	True	4
chr1_8868038_8868039	chr1	8868038	8868039	12670	True	4
chr1_8870458_8870459	chr1	8870458	8870459	18459	True	3
chr1_8870482_8870483	chr1	8870482	8870483	18205	True	3
chr1_8878641_8878642	chr1	8878641	8878642	28469	True	3
chr1_10459734_10459735	chr1	10459734	10459735	1266	True	1
chr1_11018788_11018789	chr1	11018788	11018789	2667	True	1
chr1_11022317_11022318	chr1	11022317	11022318	8209	True	4
chr1_11022338_11022339	chr1	11022338	11022339	8269	True	4
chr1_11022346_11022347	chr1	11022346	11022347	0	False	NA
chr1_11022362_11022363	chr1	11022362	11022363	0	False	NA
chr1_11022803_11022804	chr1	11022803	11022804	893	True	5
chr1_11022858_11022859	chr1	11022858	11022859	0	False	NA
chr1_11023129_11023130	chr1	11023129	11023130	4263	True	3
chr1_11023161_11023162	chr1	11023161	11023162	0	False	NA
chr1_11023361_11023362	chr1	11023361	11023362	7952	True	6
chr1_11024289_11024290	chr1	11024289	11024290	2267	True	2
chr1_11024302_11024303	chr1	11024302	11024303	2226	True	2
chr1_11024331_11024332	chr1	11024331	11024332	0	False	NA
chr1_11080901_11080902	chr1	11080901	11080902	1510	True	1
chr1_11152377_11152378	chr1	11152377	11152378	1248	True	5
chr1_11152402_11152403	chr1	11152402	11152403	0	False	NA
chr1_11908151_11908152	chr1	11908151	11908152	248452	True	4
chr1_11908176_11908177	chr1	11908176	11908177	248523	True	4
chr1_11908192_11908193	chr1	11908192	11908193	248556	True	4
chr1_11908239_11908240	chr1	11908239	11908240	248566	True	4
chr1_11909805_11909806	chr1	11909805	11909806	0	False	NA
chr1_11909817_11909818	chr1	11909817	11909818	0	False	NA
chr1_11909840_11909841	chr1	11909840	11909841	13167	True	3
chr1_11909844_11909845	chr1	11909844	11909845	0	False	NA
chr1_11909857_11909858	chr1	11909857	11909858	0	False	NA
chr1_11909887_11909888	chr1	11909887	11909888	13150	True	3
chr1_12617518_12617519	chr1	12617518	12617519	6926	True	4
chr1_13778751_13778752	chr1	13778751	13778752	1008	True	2
chr1_15536628_15536629	chr1	15536628	15536629	279	True	1
chr1_15859153_15859154	chr1	15859153	15859154	85	False	NA
chr1_15872889_15872890	chr1	15872889	15872890	1979	True	1
chr1_15872963_15872964	chr1	15872963	15872964	2065	True	2
chr1_15873011_15873012	chr1	15873011	15873012	2028	True	2
chr1_15873253_15873254	chr1	15873253	15873254	2063	True	2
chr1_15873277_15873278	chr1	15873277	15873278	1942	True	2
chr1_15873319_15873320	chr1	15873319	15873320	1987	True	2
chr1_15873389_15873390	chr1	15873389	15873390	1344	True	2
chr1_15873436_15873437	chr1	15873436	15873437	1213	True	2
chr1_15873519_15873520	chr1	15873519	15873520	1407	True	6
chr1_15873542_15873543	chr1	15873542	15873543	1301	True	6
chr1_15873569_15873570	chr1	15873569	15873570	1332	True	6
chr1_15873719_15873720	chr1	15873719	15873720	1176	True	1
chr1_15873758_15873759	chr1	15873758	15873759	1391	True	1
chr1_15873971_15873972	chr1	15873971	15873972	965	True	2
chr1_15874173_15874174	chr1	15874173	15874174	1788	True	2
chr1_15874215_15874216	chr1	15874215	15874216	1887	True	2
chr1_15874241_15874242	chr1	15874241	15874242	1773	True	2
chr1_15874263_15874264	chr1	15874263	15874264	1907	True	2
chr1_15875492_15875493	chr1	15875492	15875493	48	False	NA
chr1_15876301_15876302	chr1	15876301	15876302	1813	True	1
chr1_15876467_15876468	chr1	15876467	15876468	2152	True	1
chr1_15911205_15911206	chr1	15911205	15911206	1800	True	2
chr1_15911259_15911260	chr1	15911259	15911260	1602	True	2
chr1_15916234_15916235	chr1	15916234	15916235	993	True	2
chr1_15918940_15918941	chr1	15918940	15918941	1208	True	1
chr1_15920549_15920550	chr1	15920549	15920550	124	False	NA
chr1_15922283_15922284	chr1	15922283	15922284	1679	True	2
chr1_15922327_15922328	chr1	15922327	15922328	1663	True	2
chr1_15928212_15928213	chr1	15928212	15928213	2439	True	1
chr1_15928252_15928253	chr1	15928252	15928253	3245	True	1
chr1_15928302_15928303	chr1	15928302	15928303	4034	True	1
chr1_15928325_15928326	chr1	15928325	15928326	3889	True	1
chr1_15928365_15928366	chr1	15928365	15928366	3719	True	4
chr1_15928411_15928412	chr1	15928411	15928412	3988	True	4
chr1_15928438_15928439	chr1	15928438	15928439	2726	True	2
chr1_15928744_15928745	chr1	15928744	15928745	1951	True	2
chr1_15928938_15928939	chr1	15928938	15928939	2327	True	1
chr1_15929216_15929217	chr1	15929216	15929217	2342	True	2
chr1_15929372_15929373	chr1	15929372	15929373	2117	True	1
chr1_15929412_15929413	chr1	15929412	15929413	1880	True	1
chr1_15929632_15929633	chr1	15929632	15929633	2121	True	1
chr1_15929725_15929726	chr1	15929725	15929726	1522	True	2
chr1_15929744_15929745	chr1	15929744	15929745	1563	True	2
chr1_15929770_15929771	chr1	15929770	15929771	1822	True	2
chr1_15929842_15929843	chr1	15929842	15929843	1641	True	1
chr1_15929894_15929895	chr1	15929894	15929895	2140	True	1
chr1_15929943_15929944	chr1	15929943	15929944	2282	True	1
chr1_15929977_15929978	chr1	15929977	15929978	2310	True	1
chr1_15930057_15930058	chr1	15930057	15930058	1699	True	1
chr1_15930086_15930087	chr1	15930086	15930087	2410	True	1
chr1_15930137_15930138	chr1	15930137	15930138	1961	True	1
chr1_15930171_15930172	chr1	15930171	15930172	1707	True	1
chr1_15930379_15930380	chr1	15930379	15930380	2703	True	2
chr1_15930458_15930459	chr1	15930458	15930459	2608	True	2
chr1_15930510_15930511	chr1	15930510	15930511	2508	True	2
chr1_15930536_15930537	chr1	15930536	15930537	2826	True	2
chr1_15930660_15930661	chr1	15930660	15930661	2391	True	2
chr1_15930714_15930715	chr1	15930714	15930715	2617	True	2
chr1_15930743_15930744	chr1	15930743	15930744	3227	True	1
chr1_15930776_15930777	chr1	15930776	15930777	3480	True	1
chr1_15930815_15930816	chr1	15930815	15930816	4654	True	6
chr1_15930830_15930831	chr1	15930830	15930831	4818	True	6
chr1_15930857_15930858	chr1	15930857	15930858	4415	True	6
chr1_15930874_15930875	chr1	15930874	15930875	4300	True	6
chr1_15930905_15930906	chr1	15930905	15930906	4436	True	6
chr1_15930920_15930921	chr1	15930920	15930921	4408	True	6
chr1_15930935_15930936	chr1	15930935	15930936	3481	True	6
chr1_15930970_15930971	chr1	15930970	15930971	2918	True	2
chr1_15930997_15930998	chr1	15930997	15930998	3445	True	2
chr1_15931076_15931077	chr1	15931076	15931077	2432	True	2
chr1_15931466_15931467	chr1	15931466	15931467	2652	True	2
chr1_15931516_15931517	chr1	15931516	15931517	2273	True	2
chr1_15931864_15931865	chr1	15931864	15931865	2433	True	2
chr1_15932590_15932591	chr1	15932590	15932591	2646	True	2
chr1_15932637_15932638	chr1	15932637	15932638	3080	True	2
chr1_15932665_15932666	chr1	15932665	15932666	3077	True	2
chr1_15933450_15933451	chr1	15933450	15933451	2114	True	1
chr1_15933597_15933598	chr1	15933597	15933598	2409	True	6
chr1_15934099_15934100	chr1	15934099	15934100	2209	True	1
chr1_16468001_16468002	chr1	16468001	16468002	11	False	NA
chr1_16471980_16471981	chr1	16471980	16471981	221	True	5
chr1_16872616_16872617	chr1	16872616	16872617	723	True	5
chr1_17408662_17408663	chr1	17408662	17408663	4366	True	6
chr1_17408888_17408889	chr1	17408888	17408889	3718	True	6
chr1_17414534_17414535	chr1	17414534	17414535	141	False	NA
chr1_17416529_17416530	chr1	17416529	17416530	2238	True	4
chr1_17416562_17416563	chr1	17416562	17416563	2417	True	4
chr1_19609017_19609018	chr1	19609017	19609018	218	True	5
chr1_20744444_20744445	chr1	20744444	20744445	9403	True	3
chr1_20744474_20744475	chr1	20744474	20744475	9442	True	3
chr1_20744751_20744752	chr1	20744751	20744752	4424	True	6
chr1_20744793_20744794	chr1	20744793	20744794	4966	True	6
chr1_20765433_20765434	chr1	20765433	20765434	7413	True	4
chr1_20767632_20767633	chr1	20767632	20767633	3037	True	4
chr1_20773621_20773622	chr1	20773621	20773622	9919	True	4
chr1_20773753_20773754	chr1	20773753	20773754	8774	True	1
chr1_20773777_20773778	chr1	20773777	20773778	8488	True	1
chr1_20775884_20775885	chr1	20775884	20775885	4303	True	4
chr1_20775978_20775979	chr1	20775978	20775979	8234	True	4
chr1_20776014_20776015	chr1	20776014	20776015	7235	True	4
chr1_20776621_20776622	chr1	20776621	20776622	8930	True	4
chr1_20776648_20776649	chr1	20776648	20776649	10121	True	4
chr1_20776680_20776681	chr1	20776680	20776681	8530	True	4
chr1_20779869_20779870	chr1	20779869	20779870	4728	True	4
chr1_20807055_20807056	chr1	20807055	20807056	200	True	5
chr1_20825109_20825110	chr1	20825109	20825110	197	False	NA
chr1_20845668_20845669	chr1	20845668	20845669	43	False	NA
chr1_20857411_20857412	chr1	20857411	20857412	321	True	2
chr1_20879468_20879469	chr1	20879468	20879469	538	True	2
chr1_20879491_20879492	chr1	20879491	20879492	441	True	2
chr1_20886307_20886308	chr1	20886307	20886308	449	True	2
chr1_20896440_20896441	chr1	20896440	20896441	53	False	NA
chr1_21123567_21123568	chr1	21123567	21123568	160	False	NA
chr1_21715417_21715418	chr1	21715417	21715418	4043	True	4
chr1_21721683_21721684	chr1	21721683	21721684	2215	True	2
chr1_21723933_21723934	chr1	21723933	21723934	2740	True	1
chr1_21756167_21756168	chr1	21756167	21756168	778	True	5
chr1_22091806_22091807	chr1	22091806	22091807	817	True	5
chr1_23069138_23069139	chr1	23069138	23069139	0	False	NA
chr1_23071309_23071310	chr1	23071309	23071310	3413	True	2
chr1_23071330_23071331	chr1	23071330	23071331	0	False	NA
chr1_23072134_23072135	chr1	23072134	23072135	1781	True	2
chr1_23072185_23072186	chr1	23072185	23072186	1821	True	2
chr1_23072208_23072209	chr1	23072208	23072209	0	False	NA
chr1_23093135_23093136	chr1	23093135	23093136	300	True	2
chr1_23093257_23093258	chr1	23093257	23093258	371	True	2
chr1_23093285_23093286	chr1	23093285	23093286	360	True	2
chr1_23285140_23285141	chr1	23285140	23285141	853	True	5
chr1_23310114_23310115	chr1	23310114	23310115	5344	True	6
chr1_23310279_23310280	chr1	23310279	23310280	6282	True	6
chr1_23310469_23310470	chr1	23310469	23310470	2142	True	6
chr1_23310609_23310610	chr1	23310609	23310610	7639	True	4
chr1_23310671_23310672	chr1	23310671	23310672	11647	True	4
chr1_23310769_23310770	chr1	23310769	23310770	9151	True	4
chr1_23310921_23310922	chr1	23310921	23310922	8256	True	4
chr1_23310940_23310941	chr1	23310940	23310941	6976	True	3
chr1_23310969_23310970	chr1	23310969	23310970	8035	True	3
chr1_23311019_23311020	chr1	23311019	23311020	6750	True	3
chr1_23311055_23311056	chr1	23311055	23311056	4962	True	3
chr1_23311215_23311216	chr1	23311215	23311216	7412	True	4
chr1_23311271_23311272	chr1	23311271	23311272	7538	True	4
chr1_23311311_23311312	chr1	23311311	23311312	7288	True	4
chr1_23313557_23313558	chr1	23313557	23313558	4142	True	2
chr1_23313581_23313582	chr1	23313581	23313582	4485	True	2
chr1_23313635_23313636	chr1	23313635	23313636	6076	True	2
chr1_23313691_23313692	chr1	23313691	23313692	3530	True	2
chr1_23318540_23318541	chr1	23318540	23318541	6019	True	4
chr1_23318625_23318626	chr1	23318625	23318626	8054	True	3
chr1_23318669_23318670	chr1	23318669	23318670	4495	True	1
chr1_23321542_23321543	chr1	23321542	23321543	3622	True	2
chr1_23321554_23321555	chr1	23321554	23321555	3893	True	2
chr1_23321589_23321590	chr1	23321589	23321590	4504	True	4
chr1_23321676_23321677	chr1	23321676	23321677	4346	True	4
chr1_23322627_23322628	chr1	23322627	23322628	463	True	5
chr1_23323117_23323118	chr1	23323117	23323118	1482	True	2
chr1_23323601_23323602	chr1	23323601	23323602	4828	True	3
chr1_23323640_23323641	chr1	23323640	23323641	6025	True	3
chr1_23323679_23323680	chr1	23323679	23323680	5475	True	3
chr1_23323704_23323705	chr1	23323704	23323705	4063	True	3
chr1_23333605_23333606	chr1	23333605	23333606	4158	True	4
chr1_23337842_23337843	chr1	23337842	23337843	4906	True	2
chr1_23338554_23338555	chr1	23338554	23338555	3675	True	4
chr1_23694670_23694671	chr1	23694670	23694671	32170	True	3
chr1_23694732_23694733	chr1	23694732	23694733	36670	True	3
chr1_23696379_23696380	chr1	23696379	23696380	6516	True	6
chr1_23967551_23967552	chr1	23967551	23967552	875	True	2
chr1_23967732_23967733	chr1	23967732	23967733	1398	True	1
chr1_23967966_23967967	chr1	23967966	23967967	791	True	1
chr1_23971585_23971586	chr1	23971585	23971586	3216	True	2
chr1_23971858_23971859	chr1	23971858	23971859	4132	True	1
chr1_23971884_23971885	chr1	23971884	23971885	4054	True	1
chr1_23971917_23971918	chr1	23971917	23971918	4341	True	1
chr1_23971931_23971932	chr1	23971931	23971932	4677	True	1
chr1_23971946_23971947	chr1	23971946	23971947	4646	True	1
chr1_23975081_23975082	chr1	23975081	23975082	2878	True	2
chr1_23975367_23975368	chr1	23975367	23975368	2279	True	1
chr1_23975410_23975411	chr1	23975410	23975411	2102	True	1
chr1_23977847_23977848	chr1	23977847	23977848	2254	True	2
chr1_23977870_23977871	chr1	23977870	23977871	2299	True	2
chr1_23978041_23978042	chr1	23978041	23978042	3330	True	2
chr1_23978751_23978752	chr1	23978751	23978752	2186	True	6
chr1_24202748_24202749	chr1	24202748	24202749	0	False	NA
chr1_24646689_24646690	chr1	24646689	24646690	4488	True	1
chr1_24646726_24646727	chr1	24646726	24646727	5357	True	1
chr1_24646767_24646768	chr1	24646767	24646768	6237	True	1
chr1_24647752_24647753	chr1	24647752	24647753	1257	True	2
chr1_24648324_24648325	chr1	24648324	24648325	3990	True	1
chr1_24648899_24648900	chr1	24648899	24648900	8568	True	2
chr1_24648926_24648927	chr1	24648926	24648927	7786	True	2
chr1_24648994_24648995	chr1	24648994	24648995	4524	True	2
chr1_24649019_24649020	chr1	24649019	24649020	4147	True	2
chr1_24649972_24649973	chr1	24649972	24649973	3729	True	2
chr1_24649993_24649994	chr1	24649993	24649994	3885	True	2
chr1_24650024_24650025	chr1	24650024	24650025	4109	True	2
chr1_24650050_24650051	chr1	24650050	24650051	4116	True	2
chr1_24650071_24650072	chr1	24650071	24650072	4142	True	2
chr1_24651426_24651427	chr1	24651426	24651427	3228	True	2
chr1_24651448_24651449	chr1	24651448	24651449	3171	True	2
chr1_24651493_24651494	chr1	24651493	24651494	3756	True	2
chr1_24651595_24651596	chr1	24651595	24651596	1370	True	2
chr1_24654908_24654909	chr1	24654908	24654909	6362	True	6
chr1_24654986_24654987	chr1	24654986	24654987	6397	True	6
chr1_24669297_24669298	chr1	24669297	24669298	3291	True	2
chr1_24671389_24671390	chr1	24671389	24671390	1742	True	2
chr1_24671554_24671555	chr1	24671554	24671555	60	False	NA
chr1_24672211_24672212	chr1	24672211	24672212	3385	True	2
chr1_24672228_24672229	chr1	24672228	24672229	3376	True	2
chr1_24672670_24672671	chr1	24672670	24672671	8976	True	1
chr1_24672984_24672985	chr1	24672984	24672985	10806	True	4
