binf_chr_start_end	chrom	start	end	row_sum_support	passes_heatmap_filter	heatmap_cluster
chr1_629952_629953	chr1	629952	629953	1402	True	2
chr1_634033_634034	chr1	634033	634034	15176	True	1
chr1_1095540_1095541	chr1	1095540	1095541	337	True	2
chr1_1102078_1102079	chr1	1102078	1102079	113	False	NA
chr1_1391024_1391025	chr1	1391024	1391025	13997	True	1
chr1_1391083_1391084	chr1	1391083	1391084	10771	True	1
chr1_1391214_1391215	chr1	1391214	1391215	13410	True	1
chr1_1391253_1391254	chr1	1391253	1391254	15715	True	1
chr1_1395065_1395066	chr1	1395065	1395066	1779	True	1
chr1_1477721_1477722	chr1	1477721	1477722	769	True	4
chr1_1478172_1478173	chr1	1478172	1478173	4206	True	3
chr1_1673970_1673971	chr1	1673970	1673971	1173	True	3
chr1_2282525_2282526	chr1	2282525	2282526	931	True	2
chr1_6668444_6668445	chr1	6668444	6668445	5	False	NA
chr1_7121813_7121814	chr1	7121813	7121814	0	False	NA
chr1_8206537_8206538	chr1	8206537	8206538	0	False	NA
chr1_11152402_11152403	chr1	11152402	11152403	0	False	NA
chr1_11909805_11909806	chr1	11909805	11909806	0	False	NA
chr1_11909817_11909818	chr1	11909817	11909818	0	False	NA
chr1_11909844_11909845	chr1	11909844	11909845	0	False	NA
chr1_11909857_11909858	chr1	11909857	11909858	0	False	NA
chr1_15859153_15859154	chr1	15859153	15859154	85	False	NA
chr1_15873253_15873254	chr1	15873253	15873254	2063	True	4
chr1_15873277_15873278	chr1	15873277	15873278	1942	True	4
chr1_15873319_15873320	chr1	15873319	15873320	1987	True	4
chr1_15873389_15873390	chr1	15873389	15873390	1344	True	2
chr1_15873436_15873437	chr1	15873436	15873437	1213	True	2
chr1_15873519_15873520	chr1	15873519	15873520	1407	True	2
chr1_15873542_15873543	chr1	15873542	15873543	1301	True	2
chr1_15873569_15873570	chr1	15873569	15873570	1332	True	2
chr1_15873719_15873720	chr1	15873719	15873720	1176	True	5
chr1_15873758_15873759	chr1	15873758	15873759	1391	True	5
chr1_15873971_15873972	chr1	15873971	15873972	965	True	2
chr1_15874173_15874174	chr1	15874173	15874174	1788	True	4
chr1_15874215_15874216	chr1	15874215	15874216	1887	True	4
chr1_15874241_15874242	chr1	15874241	15874242	1773	True	4
chr1_15874263_15874264	chr1	15874263	15874264	1907	True	4
chr1_15875492_15875493	chr1	15875492	15875493	48	False	NA
chr1_15920549_15920550	chr1	15920549	15920550	124	False	NA
chr1_16471980_16471981	chr1	16471980	16471981	221	True	2
chr1_17414534_17414535	chr1	17414534	17414535	141	False	NA
chr1_19609017_19609018	chr1	19609017	19609018	218	True	4
chr1_20776014_20776015	chr1	20776014	20776015	7235	True	1
chr1_20845668_20845669	chr1	20845668	20845669	43	False	NA
chr1_20896440_20896441	chr1	20896440	20896441	53	False	NA
chr1_21123567_21123568	chr1	21123567	21123568	160	False	NA
chr1_21756167_21756168	chr1	21756167	21756168	778	True	4
chr1_23069138_23069139	chr1	23069138	23069139	0	False	NA
chr1_23071330_23071331	chr1	23071330	23071331	0	False	NA
chr1_23072208_23072209	chr1	23072208	23072209	0	False	NA
chr1_23321676_23321677	chr1	23321676	23321677	4346	True	4
chr1_23322627_23322628	chr1	23322627	23322628	463	True	4
chr1_23323117_23323118	chr1	23323117	23323118	1482	True	4
chr1_23975081_23975082	chr1	23975081	23975082	2878	True	4
chr1_23975367_23975368	chr1	23975367	23975368	2279	True	3
