binf_chr_start_end	chrom	start	end	row_sum_support	passes_heatmap_filter	heatmap_cluster
chr1_629921_629922	chr1	629921	629922	27896	True	6
chr1_631328_631329	chr1	631328	631329	302	True	2
chr1_631355_631356	chr1	631355	631356	308	True	2
chr1_631386_631387	chr1	631386	631387	336	True	2
chr1_631512_631513	chr1	631512	631513	618	True	2
chr1_632579_632580	chr1	632579	632580	1624	True	4
chr1_632607_632608	chr1	632607	632608	1556	True	4
chr1_633927_633928	chr1	633927	633928	43741	True	6
chr1_633944_633945	chr1	633944	633945	43741	True	6
chr1_633971_633972	chr1	633971	633972	43741	True	6
chr1_633995_633996	chr1	633995	633996	43748	True	6
chr1_634016_634017	chr1	634016	634017	43748	True	6
chr1_634060_634061	chr1	634060	634061	15193	True	3
chr1_1014432_1014433	chr1	1014432	1014433	103	False	NA
chr1_1045196_1045197	chr1	1045196	1045197	2449	True	4
chr1_1055015_1055016	chr1	1055015	1055016	12305	True	5
chr1_2054579_2054580	chr1	2054579	2054580	31	False	NA
chr1_3531558_3531559	chr1	3531558	3531559	196	False	NA
chr1_6197751_6197752	chr1	6197751	6197752	4823	True	3
chr1_6199592_6199593	chr1	6199592	6199593	9051	True	6
chr1_6613870_6613871	chr1	6613870	6613871	121	False	NA
chr1_6668443_6668444	chr1	6668443	6668444	5	False	NA
chr1_7961718_7961719	chr1	7961718	7961719	2136	True	3
chr1_7977678_7977679	chr1	7977678	7977679	962	True	3
chr1_7985236_7985237	chr1	7985236	7985237	1992	True	4
chr1_8727163_8727164	chr1	8727163	8727164	97	False	NA
chr1_8861079_8861080	chr1	8861079	8861080	43661	True	1
chr1_8861126_8861127	chr1	8861126	8861127	47122	True	1
chr1_8861217_8861218	chr1	8861217	8861218	37352	True	1
chr1_8861382_8861383	chr1	8861382	8861383	22643	True	3
chr1_8863273_8863274	chr1	8863273	8863274	17464	True	3
chr1_8863300_8863301	chr1	8863300	8863301	17572	True	3
chr1_8863989_8863990	chr1	8863989	8863990	21765	True	3
chr1_8864039_8864040	chr1	8864039	8864040	15391	True	3
chr1_8865303_8865304	chr1	8865303	8865304	12410	True	5
chr1_8865338_8865339	chr1	8865338	8865339	14444	True	5
chr1_8865413_8865414	chr1	8865413	8865414	14247	True	5
chr1_8865439_8865440	chr1	8865439	8865440	12601	True	5
chr1_8866349_8866350	chr1	8866349	8866350	24271	True	3
chr1_8866379_8866380	chr1	8866379	8866380	24457	True	3
chr1_8866400_8866401	chr1	8866400	8866401	25248	True	3
chr1_8866443_8866444	chr1	8866443	8866444	18960	True	3
chr1_8866494_8866495	chr1	8866494	8866495	14508	True	3
chr1_8867133_8867134	chr1	8867133	8867134	18899	True	3
chr1_8867247_8867248	chr1	8867247	8867248	19046	True	3
chr1_8868047_8868048	chr1	8868047	8868048	12732	True	3
chr1_8870490_8870491	chr1	8870490	8870491	18221	True	5
chr1_8871905_8871906	chr1	8871905	8871906	20206	True	3
chr1_8871948_8871949	chr1	8871948	8871949	19445	True	3
chr1_8874837_8874838	chr1	8874837	8874838	25776	True	5
chr1_8874874_8874875	chr1	8874874	8874875	25778	True	5
chr1_8874899_8874900	chr1	8874899	8874900	25698	True	5
chr1_8878607_8878608	chr1	8878607	8878608	29300	True	3
chr1_8878644_8878645	chr1	8878644	8878645	28469	True	3
chr1_8878687_8878688	chr1	8878687	8878688	28138	True	3
chr1_9574756_9574757	chr1	9574756	9574757	639	True	4
chr1_10328240_10328241	chr1	10328240	10328241	6	False	NA
chr1_11012653_11012654	chr1	11012653	11012654	2862	True	3
chr1_11023130_11023131	chr1	11023130	11023131	4298	True	1
chr1_11054656_11054657	chr1	11054656	11054657	2058	True	4
chr1_11908150_11908151	chr1	11908150	11908151	248452	True	1
chr1_11908176_11908177	chr1	11908176	11908177	248523	True	1
chr1_11908192_11908193	chr1	11908192	11908193	248556	True	1
chr1_11908205_11908206	chr1	11908205	11908206	248566	True	1
chr1_11908239_11908240	chr1	11908239	11908240	248566	True	1
chr1_11909842_11909843	chr1	11909842	11909843	13167	True	1
chr1_11909886_11909887	chr1	11909886	11909887	13150	True	1
chr1_11909927_11909928	chr1	11909927	11909928	12974	True	1
chr1_12075984_12075985	chr1	12075984	12075985	6	False	NA
chr1_15728843_15728844	chr1	15728843	15728844	0	False	NA
chr1_16514289_16514290	chr1	16514289	16514290	511	True	2
chr1_16872583_16872584	chr1	16872583	16872584	723	True	2
chr1_16872616_16872617	chr1	16872616	16872617	723	True	2
chr1_16889705_16889706	chr1	16889705	16889706	856	True	2
chr1_17257843_17257844	chr1	17257843	17257844	93	False	NA
chr1_17439666_17439667	chr1	17439666	17439667	3139	True	3
chr1_19305129_19305130	chr1	19305129	19305130	807	True	2
chr1_19608586_19608587	chr1	19608586	19608587	916	True	2
chr1_19622133_19622134	chr1	19622133	19622134	1260	True	3
chr1_21885095_21885096	chr1	21885095	21885096	1429	True	4
chr1_22091806_22091807	chr1	22091806	22091807	817	True	2
chr1_23310975_23310976	chr1	23310975	23310976	7662	True	3
chr1_23311273_23311274	chr1	23311273	23311274	7525	True	3
chr1_23318670_23318671	chr1	23318670	23318671	4495	True	3
chr1_23691804_23691805	chr1	23691804	23691805	5644	True	3
chr1_23692752_23692753	chr1	23692752	23692753	21158	True	1
chr1_23693858_23693859	chr1	23693858	23693859	27171	True	6
chr1_23693892_23693893	chr1	23693892	23693893	27004	True	6
chr1_23694717_23694718	chr1	23694717	23694718	36436	True	1
chr1_23694748_23694749	chr1	23694748	23694749	36736	True	1
chr1_23694768_23694769	chr1	23694768	23694769	36321	True	1
chr1_23695818_23695819	chr1	23695818	23695819	11241	True	6
chr1_23695851_23695852	chr1	23695851	23695852	10833	True	6
chr1_23695864_23695865	chr1	23695864	23695865	10670	True	6
chr1_23695898_23695899	chr1	23695898	23695899	9842	True	6
chr1_23696354_23696355	chr1	23696354	23696355	6562	True	1
chr1_23696381_23696382	chr1	23696381	23696382	6516	True	1
chr1_25676477_25676478	chr1	25676477	25676478	0	False	NA
chr1_25900671_25900672	chr1	25900671	25900672	15271	True	1
chr1_25900861_25900862	chr1	25900861	25900862	31377	True	1
chr1_25900918_25900919	chr1	25900918	25900919	26870	True	1
chr1_25900940_25900941	chr1	25900940	25900941	24965	True	1
chr1_25901508_25901509	chr1	25901508	25901509	8320	True	3
chr1_25901625_25901626	chr1	25901625	25901626	10765	True	3
chr1_26472502_26472503	chr1	26472502	26472503	12113	True	3
chr1_26472514_26472515	chr1	26472514	26472515	12131	True	3
chr1_26472588_26472589	chr1	26472588	26472589	13528	True	3
chr1_26474631_26474632	chr1	26474631	26474632	568	True	2
chr1_26475214_26475215	chr1	26475214	26475215	8852	True	1
chr1_26475256_26475257	chr1	26475256	26475257	8846	True	1
chr1_26945619_26945620	chr1	26945619	26945620	2412	True	3
chr1_26946176_26946177	chr1	26946176	26946177	3090	True	3
chr1_27834399_27834400	chr1	27834399	27834400	10551	True	3
chr1_27834412_27834413	chr1	27834412	27834413	10558	True	3
chr1_27834443_27834444	chr1	27834443	27834444	20479	True	5
chr1_27834490_27834491	chr1	27834490	27834491	20678	True	5
chr1_27834514_27834515	chr1	27834514	27834515	17164	True	5
chr1_27834527_27834528	chr1	27834527	27834528	17123	True	5
chr1_27834546_27834547	chr1	27834546	27834547	15955	True	5
chr1_28506044_28506045	chr1	28506044	28506045	12644	True	5
chr1_28506081_28506082	chr1	28506081	28506082	12911	True	5
chr1_28507363_28507364	chr1	28507363	28507364	276564	True	6
chr1_28507375_28507376	chr1	28507375	28507376	307925	True	6
chr1_28507389_28507390	chr1	28507389	28507390	309458	True	3
